Country, LiteracyRate
Andorra, 100 
Finland, 100 
Holy See, 100 
Liechtenstein, 100 
Luxembourg, 100 
Norway, 100 
North Korea, 100 
Latvia, 100 
Estonia, 100 
Lithuania, 100 
Azerbaijan, 100 
Poland, 100 
Cuba, 100 
Tajikistan, 100 
Georgia, 100 
Armenia, 100 
Ukraine, 100 
Kazakhstan, 100 
Slovenia, 100 
Barbados, 100 
Russia, 100 
Turkmenistan, 100 
Belarus, 100 
Slovakia, 100 
Palau, 100 
Uzbekistan, 100 
Tonga, 99 
Kyrgyzstan, 99 
Moldova, 99 
Croatia, 99 
Italy, 99 
Hungary, 99 
Australia, 99 
Belgium, 99 
Canada, 99 
Czech Republic, 99 
Denmark, 99 
France, 99 
Germany, 99 
Iceland, 99 
Ireland, 99 
Japan, 99 
Monaco, 99 
Netherlands, 99 
New Zealand, 99 
Sweden, 99 
Switzerland, 99 
Tuvalu, 99 
United Kingdom, 99 
Samoa, 99 
Antigua and Barbuda, 99 
Trinidad and Tobago, 99 
Micronesia, 99 
Cyprus, 99 
Romania, 99 
Montenegro, 98 
Maldives, 98 
Bulgaria, 98 
Marshall Islands, 98 
Bosnia and Herzegovina, 98 
Mongolia, 98 
Uruguay, 98 
Austria, 98 
Argentina, 98 
Serbia, 98 
South Korea, 98 
Grenada, 98 
Israel, 98 
Spain, 98 
Macedonia, 98 
Greece, 97 
Costa Rica, 97 
Saint Kitts and Nevis, 97 
Albania, 97 
Chile, 97 
Thailand, 96 
Qatar, 96 
Brunei Darussalam, 96 
Saint Vincent and the Grenadines, 96 
San Marino, 96 
Singapore, 96 
Kuwait, 96 
Bahamas, 96 
Philippines, 95 
Nauru, 95 
China, 95 
Cook Islands, 95 
State of, Palestine, 95 
Equatorial Guinea, 95 
Venezuela, 95 
Suriname, 95 
Bahrain, 95 
Portugal, 94 
Saudi Arabia, 94 
Panama, 94 
Seychelles, 94 
Paraguay, 94 
Peru, 94 
Fiji, 94 
Viet Nam, 94 
Colombia, 93 
Malta, 93 
Malaysia, 93 
Mexico, 93 
South Africa, 93 
Indonesia, 93 
Myanmar, 93 
Turkey, 93 
Jordan, 93 
Bolivia, 92 
Ecuador, 92 
Dominica, 92 
Sri Lanka, 91 
Brazil, 90 
Libya, 90 
United Arab Emirates, 90 
Lebanon, 90 
Dominican Republic, 90 
Saint Lucia, 90 
Mauritius, 89 
Jamaica, 88 
Botswana, 87 
Burundi, 87 
Oman, 87 
United States, 86 
Syrian Arab Republic, 86 
Cape Verde, 85 
Guyana, 85 
Honduras, 85 
El Salvador, 84 
Vanuatu, 84 
Iran, 84 
Zimbabwe, 84 
Swaziland, 83 
Belize, 83 
Gabon, 82 
Congo, 79 
Iraq, 79 
Tunisia, 79 
Guatemala, 78 
Nicaragua, 78 
Solomon Islands, 77 
Comoros, 77 
Namibia, 76 
Lesotho, 76 
Dem. Rep. Congo, 75 
Sudan, 74 
Cambodia, 74 
Uganda, 73 
Laos, 73 
Algeria, 73 
Kenya, 72 
Egypt, 72 
Eritrea, 72 
Ghana, 71 
Cameroon, 71 
Angola, 71 
Sao Tome and Principe, 70 
India, 69 
Tanzania, 68 
Yemen, 68 
Morocco, 67 
Rwanda, 66 
Madagascar, 64 
Papua New Guinea, 63 
Zambia, 61 
Malawi, 61 
Togo, 60 
Bangladesh, 60 
Nepal, 60 
Timor-Leste, 58 
Guinea-Bissau, 58 
Pakistan, 55 
Gambia, 53 
Bhutan, 53 
Senegal, 52 
Nigeria, 51 
Mozambique, 51 
Haiti, 49 
Sierra Leone, 46 
Mauritania, 46 
Liberia, 43 
C̫te d'Ivoire, 41 
Somalia, 39 
Ethiopia, 39 
Chad, 38 
Central African Republic, 37 
Afghanistan, 32 
Mali, 31 
Burkina Faso, 29 
Benin, 29 
South Sudan, 27 
Guinea, 25 
Niger, 15 
Djibouti, null
Kiribati, null
Niue, null